Multi-Task Training Started
====================================================================================================
Epoch  |    Batch     |  Train Loss  |   OC Loss    |   OD Loss    |   Val Loss   |    Val OC    |    Val OD    |  Best 
----------------------------------------------------------------------------------------------------
  1    |    10/281    |    0.9637    |    0.9838    |    0.9436    |     ---      |     ---      |     ---      |       
  1    |    20/281    |    0.9515    |    0.9807    |    0.9224    |     ---      |     ---      |     ---      |       
  1    |    30/281    |    0.9433    |    0.9769    |    0.9098    |     ---      |     ---      |     ---      |       
  1    |    40/281    |    0.9370    |    0.9749    |    0.8992    |     ---      |     ---      |     ---      |       
  1    |    50/281    |    0.9310    |    0.9728    |    0.8891    |     ---      |     ---      |     ---      |       
  1    |    60/281    |    0.9261    |    0.9707    |    0.8815    |     ---      |     ---      |     ---      |       
  1    |    70/281    |    0.9233    |    0.9695    |    0.8770    |     ---      |     ---      |     ---      |       
  1    |    80/281    |    0.9207    |    0.9684    |    0.8730    |     ---      |     ---      |     ---      |       
  1    |    90/281    |    0.9178    |    0.9674    |    0.8682    |     ---      |     ---      |     ---      |       
  1    |   100/281    |    0.9146    |    0.9656    |    0.8636    |     ---      |     ---      |     ---      |       
  1    |   110/281    |    0.9123    |    0.9648    |    0.8599    |     ---      |     ---      |     ---      |       
  1    |   120/281    |    0.9103    |    0.9640    |    0.8567    |     ---      |     ---      |     ---      |       
  1    |   130/281    |    0.9076    |    0.9627    |    0.8526    |     ---      |     ---      |     ---      |       
  1    |   140/281    |    0.9061    |    0.9622    |    0.8499    |     ---      |     ---      |     ---      |       
  1    |   150/281    |    0.9040    |    0.9612    |    0.8467    |     ---      |     ---      |     ---      |       
  1    |   160/281    |    0.9023    |    0.9607    |    0.8439    |     ---      |     ---      |     ---      |       
  1    |   170/281    |    0.9003    |    0.9598    |    0.8408    |     ---      |     ---      |     ---      |       
  1    |   180/281    |    0.8981    |    0.9588    |    0.8375    |     ---      |     ---      |     ---      |       
  1    |   190/281    |    0.8964    |    0.9583    |    0.8346    |     ---      |     ---      |     ---      |       
  1    |   200/281    |    0.8946    |    0.9575    |    0.8316    |     ---      |     ---      |     ---      |       
  1    |   210/281    |    0.8928    |    0.9568    |    0.8288    |     ---      |     ---      |     ---      |       
  1    |   220/281    |    0.8909    |    0.9559    |    0.8258    |     ---      |     ---      |     ---      |       
  1    |   230/281    |    0.8889    |    0.9549    |    0.8229    |     ---      |     ---      |     ---      |       
  1    |   240/281    |    0.8874    |    0.9545    |    0.8204    |     ---      |     ---      |     ---      |       
  1    |   250/281    |    0.8856    |    0.9537    |    0.8175    |     ---      |     ---      |     ---      |       
  1    |   260/281    |    0.8840    |    0.9530    |    0.8150    |     ---      |     ---      |     ---      |       
  1    |   270/281    |    0.8824    |    0.9524    |    0.8124    |     ---      |     ---      |     ---      |       
  1    |   280/281    |    0.8804    |    0.9518    |    0.8091    |     ---      |     ---      |     ---      |       
  1    |   Complete   |    0.8802    |    0.9516    |    0.8088    |    0.8242    |    0.9336    |    0.7149    |   *   
  2    |    10/281    |    0.8233    |    0.9264    |    0.7202    |     ---      |     ---      |     ---      |       
  2    |    20/281    |    0.8231    |    0.9275    |    0.7188    |     ---      |     ---      |     ---      |       
  2    |    30/281    |    0.8232    |    0.9275    |    0.7189    |     ---      |     ---      |     ---      |       
  2    |    40/281    |    0.8211    |    0.9267    |    0.7155    |     ---      |     ---      |     ---      |       
  2    |    50/281    |    0.8195    |    0.9249    |    0.7141    |     ---      |     ---      |     ---      |       
  2    |    60/281    |    0.8153    |    0.9232    |    0.7074    |     ---      |     ---      |     ---      |       
  2    |    70/281    |    0.8120    |    0.9209    |    0.7030    |     ---      |     ---      |     ---      |       
  2    |    80/281    |    0.8107    |    0.9215    |    0.6998    |     ---      |     ---      |     ---      |       
  2    |    90/281    |    0.8080    |    0.9201    |    0.6960    |     ---      |     ---      |     ---      |       
  2    |   100/281    |    0.8059    |    0.9186    |    0.6931    |     ---      |     ---      |     ---      |       
  2    |   110/281    |    0.8042    |    0.9176    |    0.6908    |     ---      |     ---      |     ---      |       
  2    |   120/281    |    0.8026    |    0.9164    |    0.6887    |     ---      |     ---      |     ---      |       
  2    |   130/281    |    0.8002    |    0.9155    |    0.6849    |     ---      |     ---      |     ---      |       
  2    |   140/281    |    0.7979    |    0.9143    |    0.6815    |     ---      |     ---      |     ---      |       
  2    |   150/281    |    0.7950    |    0.9129    |    0.6772    |     ---      |     ---      |     ---      |       
  2    |   160/281    |    0.7921    |    0.9108    |    0.6734    |     ---      |     ---      |     ---      |       
  2    |   170/281    |    0.7906    |    0.9104    |    0.6709    |     ---      |     ---      |     ---      |       
  2    |   180/281    |    0.7889    |    0.9093    |    0.6685    |     ---      |     ---      |     ---      |       
  2    |   190/281    |    0.7858    |    0.9072    |    0.6643    |     ---      |     ---      |     ---      |       
  2    |   200/281    |    0.7825    |    0.9052    |    0.6598    |     ---      |     ---      |     ---      |       
  2    |   210/281    |    0.7800    |    0.9041    |    0.6560    |     ---      |     ---      |     ---      |       
  2    |   220/281    |    0.7775    |    0.9023    |    0.6526    |     ---      |     ---      |     ---      |       
  2    |   230/281    |    0.7757    |    0.9010    |    0.6503    |     ---      |     ---      |     ---      |       
  2    |   240/281    |    0.7730    |    0.8990    |    0.6469    |     ---      |     ---      |     ---      |       
  2    |   250/281    |    0.7702    |    0.8971    |    0.6433    |     ---      |     ---      |     ---      |       
  2    |   260/281    |    0.7671    |    0.8948    |    0.6393    |     ---      |     ---      |     ---      |       
  2    |   270/281    |    0.7640    |    0.8929    |    0.6351    |     ---      |     ---      |     ---      |       
  2    |   280/281    |    0.7610    |    0.8908    |    0.6311    |     ---      |     ---      |     ---      |       
  2    |   Complete   |    0.7607    |    0.8905    |    0.6308    |    0.6817    |    0.8373    |    0.5260    |   *   
  3    |    10/281    |    0.6883    |    0.8479    |    0.5288    |     ---      |     ---      |     ---      |       
  3    |    20/281    |    0.6782    |    0.8358    |    0.5207    |     ---      |     ---      |     ---      |       
  3    |    30/281    |    0.6709    |    0.8283    |    0.5136    |     ---      |     ---      |     ---      |       
  3    |    40/281    |    0.6676    |    0.8255    |    0.5098    |     ---      |     ---      |     ---      |       
  3    |    50/281    |    0.6604    |    0.8197    |    0.5010    |     ---      |     ---      |     ---      |       
  3    |    60/281    |    0.6577    |    0.8165    |    0.4988    |     ---      |     ---      |     ---      |       
  3    |    70/281    |    0.6528    |    0.8119    |    0.4937    |     ---      |     ---      |     ---      |       
  3    |    80/281    |    0.6501    |    0.8101    |    0.4901    |     ---      |     ---      |     ---      |       
  3    |    90/281    |    0.6448    |    0.8042    |    0.4855    |     ---      |     ---      |     ---      |       
  3    |   100/281    |    0.6390    |    0.7972    |    0.4807    |     ---      |     ---      |     ---      |       
  3    |   110/281    |    0.6348    |    0.7948    |    0.4749    |     ---      |     ---      |     ---      |       
  3    |   120/281    |    0.6311    |    0.7921    |    0.4702    |     ---      |     ---      |     ---      |       
  3    |   130/281    |    0.6280    |    0.7893    |    0.4667    |     ---      |     ---      |     ---      |       
  3    |   140/281    |    0.6241    |    0.7858    |    0.4624    |     ---      |     ---      |     ---      |       
  3    |   150/281    |    0.6193    |    0.7805    |    0.4580    |     ---      |     ---      |     ---      |       
  3    |   160/281    |    0.6150    |    0.7756    |    0.4544    |     ---      |     ---      |     ---      |       
  3    |   170/281    |    0.6120    |    0.7720    |    0.4519    |     ---      |     ---      |     ---      |       
  3    |   180/281    |    0.6083    |    0.7684    |    0.4481    |     ---      |     ---      |     ---      |       
  3    |   190/281    |    0.6048    |    0.7650    |    0.4446    |     ---      |     ---      |     ---      |       
  3    |   200/281    |    0.6013    |    0.7614    |    0.4412    |     ---      |     ---      |     ---      |       
  3    |   210/281    |    0.5974    |    0.7566    |    0.4381    |     ---      |     ---      |     ---      |       
  3    |   220/281    |    0.5928    |    0.7515    |    0.4341    |     ---      |     ---      |     ---      |       
  3    |   230/281    |    0.5891    |    0.7471    |    0.4311    |     ---      |     ---      |     ---      |       
  3    |   240/281    |    0.5845    |    0.7420    |    0.4270    |     ---      |     ---      |     ---      |       
  3    |   250/281    |    0.5799    |    0.7371    |    0.4228    |     ---      |     ---      |     ---      |       
  3    |   260/281    |    0.5764    |    0.7335    |    0.4194    |     ---      |     ---      |     ---      |       
  3    |   270/281    |    0.5720    |    0.7283    |    0.4158    |     ---      |     ---      |     ---      |       
  3    |   280/281    |    0.5684    |    0.7249    |    0.4119    |     ---      |     ---      |     ---      |       
  3    |   Complete   |    0.5681    |    0.7245    |    0.4116    |    0.4548    |    0.5890    |    0.3206    |   *   
  4    |    10/281    |    0.4344    |    0.5680    |    0.3008    |     ---      |     ---      |     ---      |       
  4    |    20/281    |    0.4249    |    0.5550    |    0.2949    |     ---      |     ---      |     ---      |       
  4    |    30/281    |    0.4242    |    0.5576    |    0.2908    |     ---      |     ---      |     ---      |       
  4    |    40/281    |    0.4259    |    0.5604    |    0.2914    |     ---      |     ---      |     ---      |       
  4    |    50/281    |    0.4235    |    0.5564    |    0.2906    |     ---      |     ---      |     ---      |       
  4    |    60/281    |    0.4218    |    0.5511    |    0.2925    |     ---      |     ---      |     ---      |       
  4    |    70/281    |    0.4208    |    0.5520    |    0.2896    |     ---      |     ---      |     ---      |       
  4    |    80/281    |    0.4185    |    0.5499    |    0.2871    |     ---      |     ---      |     ---      |       
  4    |    90/281    |    0.4150    |    0.5465    |    0.2836    |     ---      |     ---      |     ---      |       
  4    |   100/281    |    0.4103    |    0.5397    |    0.2809    |     ---      |     ---      |     ---      |       
