Training Started
================================================================================
Epoch  |    Batch     |  Train Loss  |   Val Loss   |  Best 
--------------------------------------------------------------------------------
  1    |    10/281    |    0.1713    |     ---      |       
  1    |    20/281    |    0.1599    |     ---      |       
  1    |    30/281    |    0.1749    |     ---      |       
  1    |    40/281    |    0.1766    |     ---      |       
  1    |    50/281    |    0.1789    |     ---      |       
  1    |    60/281    |    0.1795    |     ---      |       
  1    |    70/281    |    0.1789    |     ---      |       
  1    |    80/281    |    0.1771    |     ---      |       
  1    |    90/281    |    0.1748    |     ---      |       
  1    |   100/281    |    0.1737    |     ---      |       
  1    |   110/281    |    0.1722    |     ---      |       
  1    |   120/281    |    0.1726    |     ---      |       
  1    |   130/281    |    0.1733    |     ---      |       
  1    |   140/281    |    0.1730    |     ---      |       
  1    |   150/281    |    0.1714    |     ---      |       
  1    |   160/281    |    0.1714    |     ---      |       
  1    |   170/281    |    0.1712    |     ---      |       
  1    |   180/281    |    0.1708    |     ---      |       
  1    |   190/281    |    0.1708    |     ---      |       
  1    |   200/281    |    0.1701    |     ---      |       
  1    |   210/281    |    0.1705    |     ---      |       
  1    |   220/281    |    0.1695    |     ---      |       
  1    |   230/281    |    0.1690    |     ---      |       
  1    |   240/281    |    0.1692    |     ---      |       
  1    |   250/281    |    0.1685    |     ---      |       
  1    |   260/281    |    0.1682    |     ---      |       
  1    |   270/281    |    0.1677    |     ---      |       
  1    |   280/281    |    0.1674    |     ---      |       
  1    |   Complete   |    0.1675    |    0.2000    |   *   
  2    |    10/281    |    0.1657    |     ---      |       
  2    |    20/281    |    0.1660    |     ---      |       
  2    |    30/281    |    0.1644    |     ---      |       
  2    |    40/281    |    0.1634    |     ---      |       
  2    |    50/281    |    0.1650    |     ---      |       
  2    |    60/281    |    0.1614    |     ---      |       
  2    |    70/281    |    0.1621    |     ---      |       
  2    |    80/281    |    0.1610    |     ---      |       
  2    |    90/281    |    0.1600    |     ---      |       
  2    |   100/281    |    0.1580    |     ---      |       
  2    |   110/281    |    0.1580    |     ---      |       
  2    |   120/281    |    0.1569    |     ---      |       
  2    |   130/281    |    0.1555    |     ---      |       
  2    |   140/281    |    0.1553    |     ---      |       
  2    |   150/281    |    0.1543    |     ---      |       
  2    |   160/281    |    0.1541    |     ---      |       
  2    |   170/281    |    0.1549    |     ---      |       
  2    |   180/281    |    0.1558    |     ---      |       
  2    |   190/281    |    0.1559    |     ---      |       
  2    |   200/281    |    0.1576    |     ---      |       
  2    |   210/281    |    0.1573    |     ---      |       
  2    |   220/281    |    0.1576    |     ---      |       
  2    |   230/281    |    0.1581    |     ---      |       
  2    |   240/281    |    0.1586    |     ---      |       
  2    |   250/281    |    0.1588    |     ---      |       
  2    |   260/281    |    0.1583    |     ---      |       
  2    |   270/281    |    0.1577    |     ---      |       
  2    |   280/281    |    0.1571    |     ---      |       
  2    |   Complete   |    0.1575    |    0.1803    |   *   
  3    |    10/281    |    0.1350    |     ---      |       
  3    |    20/281    |    0.1412    |     ---      |       
  3    |    30/281    |    0.1436    |     ---      |       
  3    |    40/281    |    0.1447    |     ---      |       
  3    |    50/281    |    0.1478    |     ---      |       
  3    |    60/281    |    0.1510    |     ---      |       
  3    |    70/281    |    0.1496    |     ---      |       
  3    |    80/281    |    0.1473    |     ---      |       
  3    |    90/281    |    0.1483    |     ---      |       
  3    |   100/281    |    0.1479    |     ---      |       
  3    |   110/281    |    0.1482    |     ---      |       
  3    |   120/281    |    0.1482    |     ---      |       
  3    |   130/281    |    0.1480    |     ---      |       
  3    |   140/281    |    0.1486    |     ---      |       
  3    |   150/281    |    0.1475    |     ---      |       
  3    |   160/281    |    0.1477    |     ---      |       
  3    |   170/281    |    0.1480    |     ---      |       
  3    |   180/281    |    0.1483    |     ---      |       
  3    |   190/281    |    0.1483    |     ---      |       
  3    |   200/281    |    0.1484    |     ---      |       
  3    |   210/281    |    0.1488    |     ---      |       
  3    |   220/281    |    0.1492    |     ---      |       
  3    |   230/281    |    0.1492    |     ---      |       
  3    |   240/281    |    0.1497    |     ---      |       
  3    |   250/281    |    0.1494    |     ---      |       
  3    |   260/281    |    0.1507    |     ---      |       
  3    |   270/281    |    0.1501    |     ---      |       
  3    |   280/281    |    0.1499    |     ---      |       
  3    |   Complete   |    0.1505    |    0.1694    |   *   
  4    |    10/281    |    0.1603    |     ---      |       
  4    |    20/281    |    0.1429    |     ---      |       
  4    |    30/281    |    0.1410    |     ---      |       
  4    |    40/281    |    0.1436    |     ---      |       
  4    |    50/281    |    0.1416    |     ---      |       
  4    |    60/281    |    0.1420    |     ---      |       
  4    |    70/281    |    0.1447    |     ---      |       
  4    |    80/281    |    0.1452    |     ---      |       
